Lang_Id,likely_subtag,LangName,regions,variants,ROD,RODs,Macro,unwritten,obsolete,deprecated,areas,ISO 639-3,confirmed,Date modified,comments
brv-Thai-x-khongchm,brv-Thai-TH-x-khongchm,Bru Khong Chiem,LA TH US,,,,,,,,NAM SEA,brv,SVW,9-Feb-2018,"long,Sounds like this is a different orthography from Bru Sakon Nakhon and Bru Dong Luang, but not sure how different. Might actually be a dialect of ""Katang"" (either ncq or sct, I'm not sure which)."
brv-Thai-x-sakonnkn,brv-Thai-TH-x-sakonnkn,Bru Sakon Nakhorn,LA TH US,,,,,,,,NAM SEA,brv,NMC SVW,28-Sep-2018,long
brw-Knda,brw-Knda-IN,Bellari,IN,,,,,1,,,SAS,brw,,,
brw-Mlym,brw-Mlym-IN,Bellari,IN,,,,,1,,,SAS,brw,,,
brx,brx-Deva-IN,Bodo,IN NP,,,03838 03890 06478,,,,,SAS,brx,CLDR,,
brx-Beng,brx-Beng-IN,Bodo,IN NP,,,03838 03890 06478,,,,,SAS,brx,,,
brx-Latn,brx-Latn-IN,Bodo,IN NP,,,03838 03890 06478,,,,,SAS,brx,,,
bry,bry-Latn-PG,Burui,PG,,,,,1,,,MEL,bry,LE,10-Jan-2018,
brz,brz-Latn-PG,Bilbil,PG,,,,,,,,MEL,brz,LE,10-Jan-2018,
bs,bs-Latn-BA,Bosnian,AT AU BA CA CZ HR LU ME MK RS SI TR,,,,,,,,ANZ EEU NAM SEU WAS WEU,bos,CLDR,,
bs-Cyrl,bs-Cyrl-BA,Bosnian,BA ME MK RS,,,,,,,,ANZ EEU NAM SEU WAS WEU,bos,,,
bsa,bsa-Latn-ID,Abinomn,ID,,,,,,,,SEA,bsa,,20-Apr-2018,
bsb,bsb-Latn-BN,"Bisaya, Brunei",BN MY,,,,,,,,SEA,bsb,,,
bsc,bsc-Latn-SN,Oniyan,GM GN GW SN,,,,,,,,WAF,bsc,,,
bse,bse-Latn-CM,Wushi,CM,,,,,,,,MAF,bse,LE,12-Jan-2018,
bsf,bsf-Latn-NG,Bauchi,NG,,,07878 07879,,1,,,WAF,bsf,,,
bsg-Zyyy,bsg-Zyyy-IR,Bashkardi,IR,,,,,,,,SAS,bsg,,,
bsh,bsh-Arab-AF,Kati,AF PK,,,03336 03337 11686,,,,,SAS,bsh,,,
bsi,bsi-Latn-CM,Bassossi,CM,,,,,1,,,MAF,bsi,,,
bsj,bsj-Latn-NG,Bangwinji,NG,,,,,,,,WAF,bsj,,,
bsk,bsk-Arab-PK,Burushaski,IN PK,,,,,,,,SAS,bsk,,,
bsk-Latn,bsk-Latn-PK,Burushaski,IN PK,,,,,,,,SAS,bsk,,,
bsl,bsl-Latn-NG,Basa-Gumna,NG,,,,,1,,,WAF,bsl,,,Extinct
bsm,bsm-Latn-ID,Busami,ID,,,,,1,,,SEA,bsm,,,
bsn,bsn-Latn-CO,Barasana-Eduria,CO,,,07768 07771,,,,,SAM,bsn,LE,9-Jan-2018,
bso,bso-Latn-TD,Buso,TD,,,,,1,,,MAF,bso,,,
bsp,bsp-Latn-GN,Baga Sitemu,GN,,,,,,,,WAF,bsp,,,
bsq,bsq-Bass-LR,Bassa,LR SL,,,00214 06449 06451,,,,,WAF,bsq,CLDR,,
bsq-Latn,bsq-Latn-LR,Bassa,LR SL,,,00214 06449 06451,,,,,WAF,bsq,LE,12-Jan-2018,
bsr,bsr-Latn-NG,Bassa-Kontagora,NG,,,,,1,,,WAF,bsr,,,
bss,bss-Latn-CM,Akoose,CM,,,06825 06826 06827 06828 06829 06830,,,,,MAF,bss,CLDR,,
bst,bst-Ethi-ET,Basketo,ET,,,,,,,,EAF,bst,,,
bst-Latn,bst-Latn-ET,Basketo,ET,,,,,,,,EAF,bst,,,
bsu,bsu-Latn-ID,Bahonsuai,ID,,,,,1,,,SEA,bsu,,,
bsv,bsv-Latn-GN,Baga Sobané,GN,,,,,1,,,WAF,bsv,LE,10-Jan-2018,Extinct
bsv-Arab,bsv-Arab-GN,Baga Sobané,GN,,,,,1,,,WAF,bsv,,,
bsw,bsw-Latn-ET,Baiso,ET,,,,,,,,EAF,bsw,,,
bsw-Ethi,bsw-Ethi-ET,Baiso,ET,,,,,,,,EAF,bsw,,,
bsx,bsx-Latn-NG,Yangkam,NG,,,,,1,,,WAF,bsx,,,
bsy,bsy-Latn-MY,"Bisaya, Sabah",MY,,,,,,,,SEA,bsy,,,
bta,bta-Latn-NG,Bata,CM NG,,,,,1,,,MAF WAF,bta,,,
btb,btb-Latn-CM,Beti,CM,,,,,,,1,MAF,btb,,,
btc,btc-Latn-CM,Bati,CM,,,,,1,,,MAF,btc,,,
btd,btd-Batk-ID,Batak Dairi,ID,,,04692,,,,,SEA,btd,,,
bte,bte-Latn-NG,Gamo-Ningi,NG,,,,,1,,,WAF,bte,,,Extinct
btf,btf-Latn-TD,Birgit,TD,,,,,1,,,MAF,btf,JJB,18-Apr-2018,survey 2004
btg,btg-Latn-CI,"Bété, Gagnoa",CI,,,,,,,,WAF,btg,,,
bth,bth-Latn-MY,"Bidayuh, Biatah",ID MY,,,,,,,,SEA,bth,,,
bti,bti-Latn-ID,Burate,ID,,,,,1,,,SEA,bti,,,
btj,btj-Latn-ID,"Malay, Bacanese",ID,,,,,1,,,SEA,btj,,,
btm,btm-Batk-ID,Batak Mandailing,ID,,,,,,,,SEA,btm,,,
btn,btn-Latn-PH,Ratagnon,PH,,,,,1,,,SEA,btn,,,
bto,bto-Latn-PH,"Bikol, Rinconada",PH,,,,,,,,SEA,bto,CLDR,,
btp,btp-Latn-PG,Budibud,PG,,,,,1,,,MEL,btp,LE,10-Jan-2018,
btq,btq-Latn-MY,Batek,MY,,,,,1,,,SEA,btq,,,
btr,btr-Latn-VU,Baetora,VU,,,,,1,,,MEL,btr,LE,10-Jan-2018,
bts,bts-Latn-ID,Batak Simalungun,ID,,,00672,,,,,SEA,bts,,20-Apr-2018,
bts-Batk,bts-Batk-ID,Batak Simalungun,ID,,,00672,,,,,SEA,bts,,,
btt,btt-Latn-NG,Bete-Bendi,NG,,,02301 02302,,,,,WAF,btt,,,
btu,btu-Latn-NG,Batu,NG,,,04256 07873,,1,,,WAF,btu,,,
btv,btv-Deva-PK,Bateri,IN PK,,,,,,,,SAS,btv,CLDR,,
btv-Arab,btv-Arab-PK,Bateri,PK,,,,,1,,,SAS,btv,,,
btw,btw-Latn-PH,Butuanon,PH,,,,,1,,,SEA,btw,,,
btx,btx-Latn-ID,Batak Karo,ID,,,,,,,,SEA,btx,,20-Apr-2018,
btx-Batk,btx-Batk-ID,Batak Karo,ID,,,,,,,,SEA,btx,,,
bty,bty-Latn-ID,Bobot,ID,,,,,1,,,SEA,bty,,,
btz,btz-Latn-ID,Batak Alas-Kluet,ID,,,,,1,,,SEA,btz,,,
bua,bua-Cyrl-RU,Buriat,RU,,,,,,,,EEU,bua,CLDR,,
bub,bub-Latn-TD,Bua,TD,,,,,1,,,MAF,bub,,,
buc,buc-Latn-YT,Bushi,YT,,,,,,,,EAF,buc,CLDR,,
bud,bud-Latn-TG,Ntcham,GH TG,,,15063 15065 15066,,,,,WAF,bud,,,
bud-Brai,bud-Brai-TG,Ntcham,GH TG,,,15063 15065 15066,,,,,WAF,bud,,,
bue,bue-Latn-CA,Beothuk,CA,,,,,1,,,NAM,bue,LE,10-Jan-2018,Extinct
buf,buf-Latn-CD,Bushoong,CD,,,01220,,,,,MAF,buf,LE,12-Jan-2018,
bug,bug-Latn-ID,Bugis,ID MY,,,08422 08423,,,,,SEA,bug,CLDR,,
bug-Bugi,bug-Bugi-ID,Bugis,ID MY,,,08422 08423,,,1,,SEA,bug,,,
buh,buh-Latn-CN,"Bunu, Younuo",CN,,,06113,,1,,,EAS,buh,,,
bui,bui-Latn-CG,Bongili,CG,,,02835,,,,,MAF,bui,LE,12-Jan-2018,
buj,buj-Latn-NG,Basa-Gurmana,NG,,,02096,,1,,,WAF,buj,,,
buk,buk-Latn-PG,Bugawac,PG,,,,,,,,MEL,buk,LE,10-Jan-2018,
bum,bum-Latn-CM,Bulu,CM,,,08454 08455 08456 08457,,,,,MAF,bum,CLDR,,
bun,bun-Latn-SL,Sherbro,SL,,,16611,,,,,WAF,bun,,,
buo,buo-Latn-PG,Terei,PG,,,,,,,,MEL,buo,LE,10-Jan-2018,
bup,bup-Latn-ID,Busoa,ID,,,,,1,,,SEA,bup,,,
buq,buq-Latn-PG,Brem,PG,,,,,,,,MEL,buq,LE,10-Jan-2018,
bus,bus-Latn-NG,Bokobaru,NG,,,,,,,,WAF,bus,,,
but,but-Latn-PG,Bungain,PG,,,,,1,,,MEL,but,LE,10-Jan-2018,
buu,buu-Latn-CD,Budu,CD,,,08404 08406 19443,,,,,MAF,buu,LE,12-Jan-2018,
buu-x-bafwa,buu-Latn-CD-x-bafwa,Budu,,,8404,,,,,,,buu,,,
buu-x-ineta,buu-Latn-CD-x-ineta,Budu,,,8406,,,,,,,buu,,,
buv,buv-Latn-PG,Bun,PG,,,,,1,,,MEL,buv,LE,10-Jan-2018,
buw,buw-Latn-GA,Bubi,GA,,,,,1,,,MAF,buw,LE,30-Jan-2018,
bux,bux-Latn-NG,Boghom,NG,,,,,,1,,WAF,bux,,,
buy,buy-Latn-SL,Bullom So,GN SL,,,,,,,,WAF,buy,LE,12-Jan-2018,
buz,buz-Latn-NG,Bukwen,NG,,,,,1,,,WAF,buz,,,
bva,bva-Latn-TD,Barein,TD,,,,,,,,MAF,bva,LE,12-Jan-2018,
bvb,bvb-Latn-GQ,Bube,GQ,,,,,,,,MAF,bvb,CLDR,,
bvc,bvc-Latn-SB,Baelelea,SB,,,,,,,,MEL,bvc,LE,10-Jan-2018,
bvd,bvd-Latn-SB,Baeggu,SB,,,03601,,,,,MEL,bvd,LE,10-Jan-2018,
bve,bve-Latn-ID,"Malay, Berau",ID,,,,,1,,,SEA,bve,,,
bvf,bvf-Latn-TD,Boor,TD,,,,,1,,,MAF,bvf,,,
bvg,bvg-Latn-CM,Bonkeng,CM,,,,,1,,,MAF,bvg,,,
bvh,bvh-Latn-NG,Bure,NG,,,,,1,,,WAF,bvh,,,
bvi,bvi-Latn-SS,Belanda Viri,SS,,,,,,,,EAF,bvi,LE,12-Jan-2018,
bvj,bvj-Latn-NG,Baan,NG,,,,,1,,,WAF,bvj,,,
bvk,bvk-Latn-ID,Bukat,ID,,,,,1,,,SEA,bvk,,,
bvl,bvl-Zxxx-BO,Bolivian Sign Language,BO,,,,,,,,SAM,bvl,,,
bvm,bvm-Latn-CM,Bamunka,CM,,,,,,,,MAF,bvm,LE,12-Jan-2018,
bvn,bvn-Latn-PG,Buna,PG,,,,,1,,,MEL,bvn,LE,10-Jan-2018,
bvo,bvo-Latn-TD,Bolgo,TD,,,,,,,,MAF,bvo,,,
bvp,bvp-Zyyy-CN,Bumang,CN,,,,,1,,,EAS,bvp,,,
bvq,bvq-Latn-CF,Birri,CF,,,,,1,,,MAF,bvq,jb,,
bvr,bvr-Latn-AU,Burarra,AU,,,,,,,,ANZ,bvr,LE,10-Jan-2018,
bvt,bvt-Latn-ID,Bati,ID,,,,,1,,,SEA,bvt,,,
bvu,bvu-Latn-ID,"Malay, Bukit",ID,,,20097 20111 21131,,1,,,SEA,bvu,,,
bvv,bvv-Latn-VE,Baniva,VE,,,,,1,,,SAM,bvv,LE,10-Jan-2018,Extinct
bvw,bvw-Latn-NG,Boga,NG,,,,,1,,,WAF,bvw,,,
bvx,bvx-Latn-CG,Dibole,CG,,,,,,,,MAF,bvx,LE,12-Jan-2018,
bvy,bvy-Latn-PH,Baybayanon,PH,,,,,1,,,SEA,bvy,,,
bvz,bvz-Latn-ID,Bauzi,ID,,,04240,,,,,SEA,bvz,,20-Apr-2018,
bwa,bwa-Latn-NC,Bwatoo,NC,,,,,1,,,MEL,bwa,LE,10-Jan-2018,
bwb,bwb-Latn-FJ,Namosi-Naitasiri-Serua,FJ,,,,,1,,,MEL,bwb,LE,10-Jan-2018,
bwc,bwc-Latn-ZM,Bwile,CD ZM,,,,,1,,,EAF MAF,bwc,LE,30-Jan-2018,
bwd,bwd-Latn-PG,Bwaidoka,PG,,,05099 08583,,,,,MEL,bwd,LE,10-Jan-2018,
bwe,bwe-Mymr-MM,"Karen, Bwe",MM,,,,,,,,SEA,bwe,NMC,4-Dec-2017,"Do we need ""Mymr"" on the end of this tag?"
bwe-Latn,bwe-Latn-MM,"Karen, Bwe",MM,,,,,,,,SEA,bwe,,,
bwf,bwf-Latn-PG,Boselewa,PG,,,,,,,,MEL,bwf,LE,10-Jan-2018,
bwg,bwg-Latn-MZ,Barwe,MZ ZW,,,,,,,,EAF,bwg,,,
bwh,bwh-Latn-CM,Bishuo,CM,,,,,1,,,MAF,bwh,,,
bwi,bwi-Latn-VE,Baniwa,BR VE,,,,,,,,SAM,bwi,LE,9-Jan-2018,
bwj,bwj-Latn-BF,"Bwamu, Láá Láá",BF,,,,,,,,WAF,bwj,,,
bwk,bwk-Latn-PG,Bauwaki,PG,,,,,1,,,MEL,bwk,LE,10-Jan-2018,
bwl,bwl-Latn-CD,Bwela,CD,,,,,1,,,MAF,bwl,,,
bwm,bwm-Latn-PG,Biwat,PG,,,,,1,,,MEL,bwm,LE,10-Jan-2018,
bwn-Zyyy,bwn-Zyyy-CN,"Bunu, Wunai",CN,,,,,,,,EAS,bwn,,,
bwo,bwo-Latn-ET,Borna,ET,,,,,,,,EAF,bwo,,,
bwo-Ethi,bwo-Ethi-ET,Borna,ET,,,,,,1,,EAF,bwo,,,
bwp,bwp-Latn-ID,Mandobo Bawah,ID,,,,,1,,,SEA,bwp,,,
bwq,bwq-Latn-BF,"Bobo Madaré, Southern",BF,,,03017 04844 08220 08221 08222 08223,,,,,WAF,bwq,,,
bwr,bwr-Latn-NG,Bura-Pabir,NG,,,02056,,,,,WAF,bwr,,,
bws,bws-Latn-CD,Bomboma,CD,,,,,1,,,MAF,bws,,,
bwt,bwt-Latn-CM,Bafaw-Balong,CM,,,02635,,1,,,MAF,bwt,,,
bwu,bwu-Latn-GH,Buli,GH,,,,,,,,WAF,bwu,LE,12-Jan-2018,
bww,bww-Latn-CD,Bwa,CD,,,01352 01356 01362 01363 01374 01378,,,,,MAF,bww,LE,12-Jan-2018,
bwx,bwx-Latn-CN,"Bunu, Bu-Nao",CN,,,06059 06095 06334 08502,,,,,EAS,bwx,,,
bwy,bwy-Latn-BF,"Bwamu, Cwi",BF,,,,,1,,,WAF,bwy,,,
bwz,bwz-Latn-CG,Bwisi,CG GA,,,,,1,,,MAF,bwz,,,
bxa,bxa-Latn-SB,Tairaha,SB,,,03625 03656,,,1,,MEL,bxa,LE,10-Jan-2018,
bxb,bxb-Latn-SS,Belanda Bor,SS,,,,,,,,EAF,bxb,LE,12-Jan-2018,
bxc,bxc-Latn-GQ,Molengue,GQ,,,,,1,,,MAF,bxc,LE,30-Jan-2018,
bxd,bxd-Zyyy-CN,Pela,CN,,,,,1,,,EAS,bxd,,,
bxe,bxe-Zyyy-ET,Ongota,ET,,,,,1,,,EAF,bxe,,,
bxf,bxf-Latn-PG,Minigir,PG,,,,,,,,MEL,bxf,LE,10-Jan-2018,
bxg,bxg-Latn-CD,Bangala,CD,,,04548,,,,,MAF,bxg,LE,12-Jan-2018,
bxh,bxh-Latn-PG,Buhutu,PG,,,,,,,,MEL,bxh,LE,10-Jan-2018,
bxi,bxi-Latn-AU,Pirlatapa,AU,,,,,1,,,ANZ,bxi,LE,10-Jan-2018,Extinct
bxj,bxj-Latn-AU,Bayungu,AU,,,,,1,,,ANZ,bxj,LE,10-Jan-2018,
bxk,bxk-Latn-KE,Lubukusu,KE UG,,,00961 03022,luy,,,,EAF,bxk,LE,12-Jan-2018,
bxl,bxl-Latn-BF,Jalkunan,BF,,,,,1,,,WAF,bxl,,,
bxm,bxm-Cyrl-MN,"Buriat, Mongolia",MN,,,,,,,,EAS,bxm,,,
bxm-Latn,bxm-Latn-MN,"Buriat, Mongolia",MN,,,,,,1,,EAS,bxm,,,
bxm-Mong,bxm-Mong-MN,"Buriat, Mongolia",MN,,,,,,1,,EAS,bxm,,,
bxn,bxn-Latn-AU,Burduna,AU,,,,,1,,,ANZ,bxn,LE,10-Jan-2018,
bxo,bxo-Latn-NG,Barikanchi,NG,,,,,1,,,WAF,bxo,,,
bxp,bxp-Latn-CM,Bebil,CM,,,,,1,,,MAF,bxp,,,
bxq,bxq-Latn-NG,Beele,NG,,,,,1,,,WAF,bxq,,,
bxr,bxr-Cyrl-RU,"Buriat, Russia",RU,,,04600 08528 08529,bua,,,,EEU,bxr,,23-Mar-2018,
bxs,bxs-Latn-CM,Busam,CM,,,,,1,,,MAF,bxs,,,
bxu-Zyyy,bxu-Zyyy-CN,"Buriat, China",CN,,,,,,,,EAS,bxu,,,
bxv,bxv-Latn-TD,Berakou,TD,,,,,1,,,MAF,bxv,,,
bxw,bxw-Latn-ML,Bankagooma,ML,,,,,1,,,WAF,bxw,,,
bxz,bxz-Latn-PG,Binahari,PG,,,,,1,,,MEL,bxz,LE,10-Jan-2018,
bya,bya-Latn-PH,Batak,PH,,,,,,,,SEA,bya,,,
byb,byb-Latn-CM,Bikya,CM,,,,,1,,,MAF,byb,,,
byc,byc-Latn-NG,Ubaghara,NG,,,02954,,,,,WAF,byc,,,
byd,byd-Latn-ID,Benyadu',ID,,,03792 04642 04873 05035 05036 05044 05072,,,,,SEA,byd,,20-Apr-2018,
bye,bye-Latn-PG,Pouye,PG,,,,,,,,MEL,bye,LE,10-Jan-2018,
byf,byf-Latn-NG,Bete,NG,,,,,1,,,WAF,byf,,,
byg,byg-Zyyy-SD,Baygo,SD,,,,,1,,,NAF,byg,LE,10-Jan-2018,Extinct
byh,byh-Deva-NP,Bhujel,NP,,,,,,,,SAS,byh,,,
byi,byi-Latn-CD,Buyu,CD,,,,,1,,,MAF,byi,,,
byj,byj-Latn-NG,Bina,NG,,,,,1,,,WAF,byj,,,
byk,byk-Latn-CN,Biao,CN,,,,,1,,,EAS,byk,,,
byl,byl-Latn-ID,Bayono,ID,,,,,,,,SEA,byl,,,
bym,bym-Latn-AU,Bidyara,AU,,,,,1,,,ANZ,bym,LE,10-Jan-2018,
byn,byn-Ethi-ER,Bilen,ER,,,,,,,,EAF,byn,CLDR,,
byn-Latn,byn-Latn-ER,Bilen,ER,,,,,,,,EAF,byn,,,
byo-Zyyy,byo-Zyyy-CN,Biyo,CN,,,,,,,,EAS,byo,,,
byp,byp-Latn-NG,Bumaji,NG,,,,,1,,,WAF,byp,,,
byq-Zyyy,byq-Zyyy-TW,Basay,TW,,,,,,,,EAS,byq,,,Extinct
byr,byr-Latn-PG,Yipma,PG,,,,,,,,MEL,byr,LE,10-Jan-2018,
bys,bys-Latn-NG,Burak,NG,,,,,,,,WAF,bys,,,
byt,byt-Zyyy-SD,Berti,SD,,,,,1,,,NAF,byt,LE,10-Jan-2018,Extinct
byv,byv-Latn-CM,Medumba,CM,,,13953,,,,,MAF,byv,CLDR,,
byw,byw-Deva-NP,Belhariya,NP,,,,,,,,SAS,byw,,,
byx,byx-Latn-PG,Qaqet,PG,,,,,,,,MEL,byx,LE,10-Jan-2018,
byz,byz-Latn-PG,Banaro,PG,,,,,,,,MEL,byz,LE,10-Jan-2018,
bza,bza-Latn-LR,Bandi,GN LR,,,07712,,,,,WAF,bza,LE,12-Jan-2018,
bzb,bzb-Latn-ID,Andio,ID,,,,,,,,SEA,bzb,,,
bzc,bzc-Latn-MG,"Malagasy, Southern Betsimisaraka",MG,,,,,1,,,EAF,bzc,,,
bzd,bzd-Latn-CR,Bribri,CR,,,,,,,,CAM,bzd,LE,9-Jan-2018,
bze,bze-Latn-ML,"Bozo, Jenaama",CI ML NG,,,02550,,,,,WAF,bze,CLDR,,
bze-Arab,bze-Arab-ML,"Bozo, Jenaama",CI ML NG,,,02550,,,,,WAF,bze,,,
bzf,bzf-Latn-PG,Boikin,PG,,,00569 00584 03249 20936,,,,,MEL,bzf,LE,10-Jan-2018,
bzg-Zyyy,bzg-Zyyy-TW,Babuza,TW,,,07485,,,,,EAS,bzg,,,
bzh,bzh-Latn-PG,"Buang, Mapos",PG,,,08392 08393 08394 08395 08396 20937,,,,,MEL,bzh,LE,10-Jan-2018,
bzi,bzi-Thai-TH,Bisu,TH,,,,,,,,SEA,bzi,NMC SVW,,"related language Pyen [pyy] written in Latin script, but no bzi in Latin script."
bzj,bzj-Latn-BZ,Belize Kriol English,BZ US,,,,,,,,CAM NAM,bzj,LE,9-Jan-2018,
bzk,bzk-Latn-NI,Nicaragua Creole English,NI,,,,,,,,CAM,bzk,LE,9-Jan-2018,
bzl,bzl-Latn-ID,Boano,ID,,,,,1,,,SEA,bzl,,,
bzm,bzm-Latn-CD,Bolondo,CD,,,,,,,,MAF,bzm,LE,12-Jan-2018,
bzn,bzn-Latn-ID,Boano,ID,,,,,1,,,SEA,bzn,,,
bzo,bzo-Latn-CD,Bozaba,CD,,,,,1,,,MAF,bzo,,,
bzp,bzp-Latn-ID,Kemberano,ID,,,,,1,,,SEA,bzp,,,
bzq,bzq-Latn-ID,Buli,ID,,,,,1,,,SEA,bzq,,,
bzr,bzr-Latn-AU,Biri,AU,,,,,1,,,ANZ,bzr,LE,10-Jan-2018,Extinct
bzs,bzs-Zxxx-BR,Brazilian Sign Language,BR,,,,,,,,SAM,bzs,,,'a
bzt,bzt-Latn-001,Brithenig,001,,,,,,,,001,bzt,,,Constructed
bzu,bzu-Latn-ID,Burmeso,ID,,,,,1,,,SEA,bzu,,,
bzv,bzv-Latn-CM,Naami,CM,,,,,,,,MAF,bzv,LE,12-Jan-2018,
bzw,bzw-Latn-NG,Basa,NG,,,,,,,,WAF,bzw,,,
bzx,bzx-Latn-ML,"Bozo, Kelengaxo",ML,,,,,1,,,WAF,bzx,,,
bzy,bzy-Latn-NG,Obanliku,NG,,,06323 15216 15217 15218,,1,,,WAF,bzy,,,
bzz,bzz-Latn-NG,Evant,CM NG,,,02245 04364,,1,,,MAF WAF,bzz,,,
ca,ca-Latn-ES,Catalan,AD AR BE BR CH CL CO CU DE DO ES FR IT MX US UY VE,,,,,,,,CAM CAR NAM SAM SEU WEU,cat,CLDR,,
ca-valencia,ca-Latn-ES-valencia,Catalan,AD AR BE BR CH CL CO CU DE DO ES FR IT MX US UY VE,valencia,,,,,,,CAM CAR NAM SAM SEU WEU,cat,CLDR,,
caa,caa-Latn-GT,Ch'orti',GT HN,,,,,,,,CAM,caa,LE,9-Jan-2018,
cab,cab-Latn-HN,Garifuna,BZ GT HN NI US,,,,,,,,CAM NAM,cab,LE,9-Jan-2018,
cac,cac-Latn-GT,Chuj,GT MX,,,00394,,,,,CAM,cac,LE,9-Jan-2018,
cad,cad-Latn-US,Caddo,US,,,,,1,,,NAM,cad,LE,9-Jan-2018,
cae,cae-Latn-SN,Laalaa,SN,,,,,,,,WAF,cae,,,
caf,caf-Latn-CA,"Carrier, Southern",CA,,,19444,,,,,NAM,caf,LE,9-Jan-2018,
caf-Cans,caf-Cans-CA,"Carrier, Southern",CA,,,19444,,,1,,NAM,caf,LE,9-Jan-2018,
cag,cag-Latn-PY,Nivaclé,AR PY,,,,,,,,SAM,cag,LE,9-Jan-2018,
cah,cah-Latn-PE,Cahuarano,PE,,,,,1,,,SAM,cah,LE,9-Jan-2018,
caj,caj-Latn-AR,Chané,AR,,,,,1,,,SAM,caj,LE,10-Jan-2018,Extinct
cak,cak-Latn-GT,Kaqchikel,GT,,,00012 04023 04024 04025 04027 04028 04783 04784 04969,,,,,CAM,cak,LE,9-Jan-2018,
cak-x-central,cak-Latn-GT-x-central,Kaqchikel,,,12,,,,,,,cak,,,
cak-x-eastern,cak-Latn-GT-x-eastern,Kaqchikel,,,4969,,,,,,,cak,,,
cak-x-northern,cak-Latn-GT-x-northern,Kaqchikel,,,4783,,,,,,,cak,,,
cak-x-subcm,cak-Latn-GT-x-subcm,Kaqchikel,,,4023,,,,,,,cak,,,
cak-x-subsa,cak-Latn-GT-x-subsa,Kaqchikel,,,4784,,,,,,,cak,,,
cak-x-subso,cak-Latn-GT-x-subso,Kaqchikel,,,4024,,,,,,,cak,,,
cak-x-subsu,cak-Latn-GT-x-subsu,Kaqchikel,,,4027,,,,,,,cak,,,
cak-x-swestern,cak-Latn-GT-x-swestern,Kaqchikel,,,4028,,,,,,,cak,,,
cak-x-xenacoj,cak-Latn-GT-x-xenacoj,Kaqchikel,,,4025,,,,,,,cak,,,
cal,cal-Latn-MP,Carolinian,MP US,,,,,,,,MIC NAM,cal,LE,10-Jan-2018,
cam,cam-Latn-NC,Cemuhî,NC,,,,,,,,MEL,cam,LE,10-Jan-2018,
can,can-Latn-PG,Chambri,PG,,,,,,,,MEL,can,LE,10-Jan-2018,
cao,cao-Latn-BO,Chácobo,BO,,,,,,,,SAM,cao,LE,9-Jan-2018,
cap,cap-Latn-BO,Chipaya,BO,,,,,,,,SAM,cap,LE,9-Jan-2018,
caq,caq-Latn-IN,"Nicobarese, Car",IN,,,,,,,,SAS,caq,,,
car,car-Latn-VE,Carib,BR GF GY SR VE,,,08644 08645,,,,,SAM,car,LE,9-Jan-2018,
cas,cas-Latn-BO,Tsimané,BO,,,20026,,,,,SAM,cas,LE,9-Jan-2018,
cav,cav-Latn-BO,Cavineña,BO,,,,,,,,SAM,cav,LE,9-Jan-2018,
caw,caw-Latn-BO,Callawalla,BO,,,,,1,,,SAM,caw,LE,9-Jan-2018,
cax,cax-Latn-BO,Chiquitano,BO BR,,,03243 08890 08892,,,,,SAM,cax,LE,9-Jan-2018,
cay,cay-Latn-CA,Cayuga,CA US,,,,,,,,NAM,cay,LE,9-Jan-2018,
caz,caz-Latn-BO,Canichana,BO,,,,,1,,,SAM,caz,LE,10-Jan-2018,Extinct
cbb,cbb-Latn-CO,Cabiyarí,CO,,,,,1,,,SAM,cbb,LE,9-Jan-2018,
cbc,cbc-Latn-CO,Carapana,BR CO,,,,,,,,SAM,cbc,LE,9-Jan-2018,
cbd,cbd-Latn-CO,Carijona,CO,,,,,1,,,SAM,cbd,LE,9-Jan-2018,
cbg,cbg-Latn-CO,Chimila,CO,,,,,,,,SAM,cbg,LE,9-Jan-2018,
cbi,cbi-Latn-EC,Chachi,EC,,,,,,,,SAM,cbi,LE,9-Jan-2018,
cbj,cbj-Latn-BJ,Ede Cabe,BJ,,,,,,,,WAF,cbj,,,
cbk,cbk-Latn-PH,Chavacano,PH,,,,,,,,SEA,cbk,,,
cbk-Brai,cbk-Brai-PH,Chavacano,PH,,,,,,,,SEA,cbk,,,
cbl,cbl-Latn-MM,"Chin, Bualkhaw",MM,,,,,,,,SEA,cbl,NMC,4-Dec-2017,"remove ""Latn""?"
cbn,cbn-Thai-TH,Nyahkur,TH,,,,,,,,SEA,cbn,NMC,,"NTM developed on orthography, and Mahidol developed an orthography."
cbo,cbo-Latn-NG,Izora,NG,,,,,1,,,WAF,cbo,,,
cbq,cbq-Latn-NG,Tsucuba,NG,,,,,1,,,WAF,cbq,,,
cbr,cbr-Latn-PE,Kakataibo-Kashibo,PE,,,,,,,,SAM,cbr,LE,9-Jan-2018,
cbs,cbs-Latn-PE,Kashinawa,BR PE,,,,,,,,SAM,cbs,LE,9-Jan-2018,
cbt,cbt-Latn-PE,Shawi,PE,,,,,,,,SAM,cbt,LE,9-Jan-2018,
cbu,cbu-Latn-PE,Kandozi-Chapra,PE,,,,,,,,SAM,cbu,LE,9-Jan-2018,
cbv,cbv-Latn-CO,Cacua,CO,,,08604,,,,,SAM,cbv,LE,9-Jan-2018,
cbw,cbw-Latn-PH,Kinabalian,PH,,,,,1,,,SEA,cbw,,,
cby,cby-Latn-CO,Carabayo,CO,,,,,1,,,SAM,cby,LE,9-Jan-2018,
