Lang_Id,likely_subtag,LangName,script,regions,default region,unwritten,not used,areas,ISO 639-3,confirmed,Date modified,comments
ach,ach-Latn-UG,Acholi,Latn,SS UG,UG,,,EAF,ach,CLDR,,
aci-Zyyy,aci-Zyyy-IN,Aka-Cari,Zyyy,IN,IN,,,SAS,aci,,,Extinct
ack-Zyyy,ack-Zyyy-IN,Aka-Kora,Zyyy,IN,IN,,,SAS,ack,,,Extinct
acl-Zyyy,acl-Zyyy-IN,Akar-Bale,Zyyy,IN,IN,,,SAS,acl,,,Extinct
acm,acm-Arab-IQ,"Arabic, Mesopotamian Spoken",Arab,IR IQ JO SY TR,IQ,,,SAS WAS,acm,LE,12-Jan-2018,
acn,acn-Latn-CN,Achang,Latn,CN MM,CN,,,EAS SEA,acn,LE,12-Jan-2018,
acp-Zyyy,acp-Zyyy-NG,"Acipa, Eastern",Zyyy,NG,NG,1,,WAF,acp,,,
acq,acq-Arab-YE,"Arabic, Ta'izzi-Adeni Spoken",Arab,DJ EG ER KE LY SA SO YE,YE,,,EAF NAF WAS,acq,LE,12-Jan-2018,
acr,acr-Latn-GT,Achi,Latn,GT,GT,,,CAM,acr,LE,9-Jan-2018,
acs,acs-Latn-BR,Acroá,Latn,BR,BR,1,,SAM,acs,LE,10-Jan-2018,Extinct
act,act-Latn-NL,Achterhoeks,Latn,NL,NL,,,WEU,act,LE,12-Jan-2018,
acu,acu-Latn-EC,Achuar-Shiwiar,Latn,EC PE,EC,,,SAM,acu,LE,9-Jan-2018,
acv,acv-Latn-US,Achumawi,Latn,US,US,1,,NAM,acv,LE,9-Jan-2018,
acw,acw-Arab-SA,"Arabic, Hijazi Spoken",Arab,ER SA,SA,,,EAF WAS,acw,LE,12-Jan-2018,
acx,acx-Arab-OM,"Arabic, Omani Spoken",Arab,AE DJ KE OM SA TZ,OM,,,EAF WAS,acx,LE,12-Jan-2018,
acy-Arab,acy-Arab-CY,"Arabic, Cypriot Spoken",Arab,CY,CY,,1,WAS,acy,,,
acy-Grek,acy-Grek-CY,"Arabic, Cypriot Spoken",Grek,CY,CY,,1,WAS,acy,,,
acy-Latn,acy-Latn-CY,"Arabic, Cypriot Spoken",Latn,CY,CY,,,WAS,acy,,,
acz,acz-Latn-SD,Acheron,Latn,SD,SD,,,NAF,acz,LE,12-Jan-2018,
ada,ada-Latn-GH,Dangme,Latn,GH,GH,,,WAF,ada,CLDR,,
adb,adb-Latn-TL,Adabe,Latn,TL,TL,,,SEA,adb,LE,12-Jan-2018,
add,add-Latn-CM,Dzodinka,Latn,CM NG,CM,,,MAF WAF,add,LE,12-Jan-2018,
ade-Latn,ade-Latn-TG,Adele,Latn,GH TG,TG,,,WAF,ade,,,
adf-Zyyy,adf-Zyyy-OM,"Arabic, Dhofari Spoken",Zyyy,OM,OM,,,WAS,adf,,,
adg,adg-Latn-AU,Andegerebinha,Latn,AU,AU,1,,ANZ,adg,LE,10-Jan-2018,
adh,adh-Latn-UG,Adhola,Latn,UG,UG,,,EAF,adh,,,
adi-Latn,adi-Latn-IN,Adi,Latn,CN IN,IN,,,EAS SAS,adi,,,
adi-Tibt,adi-Tibt-CN,"Luoba, Boga'er",Tibt,CN IN,CN,,,EAS SAS,adi,,,
adj-Latn,adj-Latn-CI,Adioukrou,Latn,CI,CI,,,WAF,adj,,,
adl-Latn,adl-Latn-IN,"Adi, Galo",Latn,IN,IN,,,SAS,adl,,,
adn-Zyyy,adn-Zyyy-ID,Adang,Zyyy,ID,ID,,,SEA,adn,,,
ado,ado-Latn-PG,Abu,Latn,PG,PG,,,MEL,ado,LE,10-Jan-2018,
adq,adq-Latn-GH,Adangbe,Latn,GH TG,GH,1,,WAF,adq,LE,12-Jan-2018,
adr-Zyyy,adr-Zyyy-ID,Adonara,Zyyy,ID,ID,,,SEA,adr,,,
ads,ads-Latn-GH,Adamorobe Sign Language,Latn,GH,GH,1,,WAF,ads,,,
adt,adt-Latn-AU,Adnyamathanha,Latn,AU,AU,1,,ANZ,adt,LE,10-Jan-2018,
adu-Zyyy,adu-Zyyy-NG,Aduge,Zyyy,NG,NG,,,WAF,adu,,,
adw,adw-Latn-BR,Amundava,Latn,BR,BR,1,,SAM,adw,LE,9-Jan-2018,
adx-Tibt,adx-Tibt-CN,"Tibetan, Amdo",Tibt,CN,CN,,,EAS,adx,,,
ady-Arab,ady-Arab-RU,Adyghe,Arab,DE EG IL IQ JO MK NL RU SY TR,RU,,1,EEU NAF SEU WAS WEU,ady,,,
ady,ady-Cyrl-RU,Adyghe,Cyrl,DE EG IL IQ JO MK NL RU SY TR,RU,,,EEU NAF SEU WAS WEU,ady,CLDR,,
ady-Latn,ady-Latn-TR,Adyghe,Latn,DE EG IL IQ JO MK NL RU SY TR,TR,,,EEU NAF SEU WAS WEU,ady,,,
adz,adz-Latn-PG,Adzera,Latn,PG,PG,,,MEL,adz,LE,10-Jan-2018,
ae-Arab,ae-Arab-IR,Avestan,Arab,IR,IR,,,SAS,ave,,,Ancient
ae,ae-Avst-IR,Avestan,Avst,IR,IR,,1,SAS,ave,CLDR,,Ancient
ae-Gujr,ae-Gujr-IR,Avestan,Gujr,IR,IR,,,SAS,ave,,,
aea,aea-Latn-AU,Areba,Latn,AU,AU,1,,ANZ,aea,LE,10-Jan-2018,Extinct
aeb,aeb-Arab-TN,"Arabic, Tunisian Spoken",Arab,BE DE FR LY NL TN,TN,,,NAF WEU,aeb,CLDR,,
aeb-Latn,aeb-Latn-TN,"Arabic, Tunisian Spoken",Latn,BE DE FR LY NL TN,TN,,,NAF WEU,aeb,LE,12-Jan-2018,
aec-Arab,aec-Arab-EG,"Arabic, Sa'idi Spoken",Arab,EG,EG,,,NAF,aec,,,
aed-Zyyy,aed-Zyyy-AR,Argentine Sign Language,Zyyy,AR,AR,1,,SAM,aed,,,
aee-Zyyy,aee-Zyyy-AF,"Pashai, Northeast",Zyyy,AF,AF,1,,SAS,aee,,,
aek,aek-Latn-NC,Haeke,Latn,NC,NC,1,,MEL,aek,LE,10-Jan-2018,
ael-Zyyy,ael-Zyyy-CM,Ambele,Zyyy,CM,CM,1,,MAF,ael,,,
aem,aem-Zyyy-VN,Arem,Zyyy,LA VN,VN,,,SEA,aem,NMC,7-Dec-2017,
aen-Zyyy,aen-Zyyy-AM,Armenian Sign Language,Zyyy,AM,AM,1,,WAS,aen,,,
aeq-Zyyy,aeq-Zyyy-PK,Aer,Zyyy,PK,PK,1,,SAS,aeq,,,
aer,aer-Latn-AU,"Arrernte, Eastern",Latn,AU,AU,,,ANZ,aer,LE,10-Jan-2018,
aes-Zyyy,aes-Zyyy-US,Alsea,Zyyy,US,US,1,,NAM,aes,LE,10-Jan-2018,Extinct
aeu,aeu-Latn-CN,Akeu,Latn,CN LA MM TH,CN,,,EAS SEA,aeu,SVW,31-Oct-2017,"May be two different Roman script orthographies in use, one in China and one based more on Paul Lewis' Akha orthography. Not sure how different they are or whether they need to have separate language tags or not."
aew,aew-Latn-PG,Ambakich,Latn,PG,PG,1,,MEL,aew,LE,10-Jan-2018,
aey,aey-Latn-PG,Amele,Latn,PG,PG,,,MEL,aey,LE,10-Jan-2018,
aez,aez-Latn-PG,Aeka,Latn,PG,PG,,,MEL,aez,LE,10-Jan-2018,
af-Brai,af-Brai-ZA,Afrikaans,Brai,AU BE BW CA DE GB MW NA NL NZ SZ US ZA ZM ZW,ZA,,,ANZ EAF NAM NEU SAF WEU,afr,,,
af,af-Latn-ZA,Afrikaans,Latn,AU BE BW CA DE GB MW NA NL NZ SZ US ZA ZM ZW,ZA,,,ANZ EAF NAM NEU SAF WEU,afr,CLDR,,
afb-Arab,afb-Arab-KW,"Arabic, Gulf Spoken",Arab,AE BH EG IQ IR KW OM QA SA YE,KW,,,NAF SAS WAS,afb,,,
afd,afd-Latn-PG,Andai,Latn,PG,PG,1,,MEL,afd,LE,10-Jan-2018,
afe-Latn,afe-Latn-NG,Utugwang-Irungene-Afrike,Latn,NG,NG,,,WAF,afe,,,
afg-Zyyy,afg-Zyyy-AF,Afghan Sign Language,Zyyy,AF,AF,1,,SAS,afg,,,
afh,afh-Latn-GH,Afrihili,Latn,GH,GH,1,,WAF,afh,LE,30-Jan-2018,Constructed
afi,afi-Latn-PG,Chini,Latn,PG,PG,1,,MEL,afi,LE,10-Jan-2018,
afk,afk-Latn-PG,Nanubae,Latn,PG,PG,1,,MEL,afk,LE,10-Jan-2018,
afn-Zyyy,afn-Zyyy-NG,Defaka,Zyyy,NG,NG,1,,WAF,afn,,,
afo-Latn,afo-Latn-NG,Eloyi,Latn,NG,NG,,,WAF,afo,,,
afp,afp-Latn-PG,Tapei,Latn,PG,PG,1,,MEL,afp,LE,10-Jan-2018,
afs,afs-Latn-MX,Afro-Seminole Creole,Latn,MX US,MX,1,,CAM NAM,afs,LE,9-Jan-2018,
aft-Zyyy,aft-Zyyy-SD,Afitti,Zyyy,SD,SD,1,,NAF,aft,,,
afu,afu-Latn-GH,Awutu,Latn,GH,GH,,,WAF,afu,LE,12-Jan-2018,
afz-Latn,afz-Latn-ID,Obokuitai,Latn,ID,ID,,,SEA,afz,,,
aga,aga-Latn-PE,Aguano,Latn,PE,PE,1,,SAM,aga,LE,10-Jan-2018,Extinct
agb-Zyyy,agb-Zyyy-NG,Legbo,Zyyy,NG,NG,,,WAF,agb,,,
agc-Latn,agc-Latn-NG,Agatu,Latn,NG,NG,,,WAF,agc,,,
agd,agd-Latn-PG,Agarabi,Latn,PG,PG,,,MEL,agd,LE,10-Jan-2018,
age,age-Latn-PG,Angal,Latn,PG,PG,,,MEL,age,LE,10-Jan-2018,
agf-Zyyy,agf-Zyyy-ID,Arguni,Zyyy,ID,ID,,,SEA,agf,,,
agg,agg-Latn-PG,Angor,Latn,PG,PG,,,MEL,agg,LE,10-Jan-2018,
agh-Zyyy,agh-Zyyy-CD,Ngelima,Zyyy,CD,CD,1,,MAF,agh,,,
agi-Zyyy,agi-Zyyy-IN,Agariya,Zyyy,IN,IN,,,SAS,agi,,,
agj,agj-Ethi-ET,Argobba,Ethi,ET,ET,,,EAF,agj,LE,3-Jan-2018,in development
agk-Zyyy,agk-Zyyy-PH,"Agta, Isarog",Zyyy,PH,PH,,,SEA,agk,,,
agl,agl-Latn-PG,Fembe,Latn,PG,PG,1,,MEL,agl,LE,10-Jan-2018,
agm,agm-Latn-PG,Angaataha,Latn,PG,PG,,,MEL,agm,LE,10-Jan-2018,
agn-Latn,agn-Latn-PH,Agutaynen,Latn,PH,PH,,,SEA,agn,,,
ago,ago-Latn-PG,Tainae,Latn,PG,PG,,,MEL,ago,LE,10-Jan-2018,
agq,agq-Latn-CM,Aghem,Latn,CM,CM,,,MAF,agq,CLDR,,
agr,agr-Latn-PE,Awajún,Latn,PE,PE,,,SAM,agr,LE,9-Jan-2018,
ags,ags-Latn-CM,Esimbi,Latn,CM NG,CM,,,MAF WAF,ags,LE,12-Jan-2018,
agt-Latn,agt-Latn-PH,"Agta, Central Cagayan",Latn,PH,PH,,,SEA,agt,,,
agu,agu-Latn-GT,Awakateko,Latn,GT,GT,,,CAM,agu,LE,9-Jan-2018,
agv-Zyyy,agv-Zyyy-PH,"Dumagat, Remontado",Zyyy,PH,PH,,,SEA,agv,,,
agw,agw-Latn-SB,Kahua,Latn,SB,SB,,,MEL,agw,LE,10-Jan-2018,
agx-Cyrl,agx-Cyrl-RU,Aghul,Cyrl,RU,RU,,,EEU,agx,,,
agy-Latn,agy-Latn-PH,"Alta, Southern",Latn,PH,PH,,1,SEA,agy,,,
agz-Zyyy,agz-Zyyy-PH,"Agta, Mt. Iriga",Zyyy,PH,PH,,,SEA,agz,,,
aha,aha-Latn-GH,Ahanta,Latn,GH,GH,,,WAF,aha,LE,12-Jan-2018,
ahb,ahb-Latn-VU,Axamb,Latn,VU,VU,,,MEL,ahb,LE,10-Jan-2018,
ahg-Ethi,ahg-Ethi-ET,Qimant,Ethi,ET,ET,,1,EAF,ahg,,,
ahh-Zyyy,ahh-Zyyy-ID,Aghu,Zyyy,ID,ID,,,SEA,ahh,,,
ahi-Zyyy,ahi-Zyyy-CI,"Aizi, Tiagbamrin",Zyyy,CI,CI,1,,WAF,ahi,,,
ahk,ahk-Latn-MM,Akha,Latn,CN MM TH,MM,,,EAS SEA,ahk,MH,,
ahk-TH,ahk-Latn-TH,Akha,Latn,TH,TH,,,EAS SEA,ahk,MH,,
